reaction,rates,c1,c2,c3
1,0.022898245373005506,1.0,500.0,0.0
1,0.021928447566311352,1.0,500.0,0.0
1,0.031796756339211765,2.0,500.0,0.0
1,0.03467860692173486,2.0,500.0,0.0
1,0.03877596641444188,3.0,500.0,0.0
1,0.03964936428967837,3.0,500.0,0.0
1,0.04204269191128083,4.0,500.0,0.0
1,0.045990015420441004,4.0,500.0,0.0
1,0.050625185057069574,5.0,500.0,0.0
1,0.05007505311739779,5.0,500.0,0.0
1,0.05241329506388157,6.0,500.0,0.0
1,0.050983241945340804,6.0,500.0,0.0
1,0.05032801233603476,7.0,500.0,0.0
1,0.05330916209607437,7.0,500.0,0.0
1,0.016043702878307052,5.0,25.0,0.0
1,0.011647721041535775,5.0,25.0,0.0
1,0.018823355037254758,5.0,50.0,0.0
1,0.02078759424214351,5.0,50.0,0.0
1,0.023196867717069764,5.0,75.0,0.0
1,0.022343039752730668,5.0,75.0,0.0
1,0.025898240232427806,5.0,100.0,0.0
1,0.029659287182305167,5.0,100.0,0.0
1,0.03400743145910498,5.0,200.0,0.0
1,0.03650585675034168,5.0,200.0,0.0
1,0.03983056716835816,5.0,350.0,0.0
1,0.0424101713492434,5.0,350.0,0.0
1,0.04215648731909171,5.0,650.0,0.0
1,0.04130193454323793,5.0,650.0,0.0
2,0.2901821418695864,100.0,0.6,0.0
2,0.2824607457048253,100.0,0.6,0.0
2,0.3658644945289172,200.0,0.6,0.0
2,0.3745808775546781,200.0,0.6,0.0
2,0.38824610908758295,300.0,0.6,0.0
2,0.3880784146728077,300.0,0.6,0.0
2,0.46770817173244855,400.0,0.6,0.0
2,0.45657090823063895,400.0,0.6,0.0
2,0.5146895016768642,500.0,0.6,0.0
2,0.45503473395452726,500.0,0.6,0.0
2,0.32468750185927286,150.0,0.6,0.0
2,0.34865466533379297,150.0,0.6,0.0
2,0.06689143878255895,300.0,0.1,0.0
2,0.07074841032238895,300.0,0.1,0.0
2,0.10867716040199245,300.0,0.15,0.0
2,0.10155201104532091,300.0,0.15,0.0
2,0.15641789701722145,300.0,0.2,0.0
2,0.15964880940855736,300.0,0.2,0.0
2,0.21923622479201785,300.0,0.3,0.0
2,0.2238683171823645,300.0,0.3,0.0
2,0.2806980910784104,300.0,0.4,0.0
2,0.3040299739874688,300.0,0.4,0.0
2,0.33575030417783874,300.0,0.5,0.0
2,0.308300591750411,300.0,0.5,0.0
2,0.44667456973781894,300.0,0.6,0.0
2,0.43152244772724063,300.0,0.6,0.0
2,0.3660061031458386,300.0,0.6,100.0
2,0.3465051059787562,300.0,0.6,100.0
2,0.3364508941773442,300.0,0.6,200.0
2,0.3475597175205645,300.0,0.6,200.0
2,0.283582435012544,300.0,0.6,300.0
2,0.2928093543677313,300.0,0.6,300.0
2,0.3729598315451841,300.0,0.6,50.0
2,0.3671836905918155,300.0,0.6,50.0
2,0.31459844866085823,300.0,0.6,150.0
2,0.3063292507411645,300.0,0.6,150.0
2,0.1989601067744188,300.0,0.6,400.0
2,0.22587692361711645,300.0,0.6,400.0
2,0.22381987212920704,300.0,0.6,500.0
2,0.20671876836468553,300.0,0.6,500.0
3,1.0216390933212298,100.0,5.0,0.0
3,1.0009865945060246,100.0,5.0,0.0
3,1.350111459897824,200.0,5.0,0.0
3,1.393167932526999,200.0,5.0,0.0
3,1.5117986880815382,300.0,5.0,0.0
3,1.6839873131727312,300.0,5.0,0.0
3,1.5145041579732454,400.0,5.0,0.0
3,1.498330963303813,400.0,5.0,0.0
3,1.4989123039416998,500.0,5.0,0.0
3,1.5079976146799667,500.0,5.0,0.0
3,1.5028624390452947,600.0,5.0,0.0
3,1.5171350970139406,600.0,5.0,0.0
3,1.4864805579930314,700.0,5.0,0.0
3,1.4906021140539507,700.0,5.0,0.0
3,0.4881174494426011,25.0,5.0,0.0
3,0.4071024143934185,25.0,5.0,0.0
3,0.7076555241812142,50.0,5.0,0.0
3,0.6979888728050608,50.0,5.0,0.0
3,0.9474659903948761,75.0,5.0,0.0
3,0.9344230914679148,75.0,5.0,0.0
3,1.3214543476840148,150.0,5.0,0.0
3,1.4234423642077523,150.0,5.0,0.0
3,0.6846925689846615,500.0,1.0,0.0
3,0.6328936275318722,500.0,1.0,0.0
3,1.0049441826947196,500.0,2.0,0.0
3,1.0047802148224947,500.0,2.0,0.0
3,1.2213817740312662,500.0,3.0,0.0
3,1.2739483832494711,500.0,3.0,0.0
3,0.37054503197242117,500.0,0.5,0.0
3,0.37357843760857734,500.0,0.5,0.0
3,1.4418365782373177,500.0,4.0,0.0
3,1.4624219992866139,500.0,4.0,0.0
3,1.7061304290081614,500.0,6.0,0.0
3,1.7014275323093528,500.0,6.0,0.0
3,1.8202148026510174,500.0,7.0,0.0
3,1.881926347288296,500.0,7.0,0.0
