reaction,rates,c1,c2
1,0.02285915315051306,0.9543395852513081,500.0
1,0.021784084006975304,0.9673024785619726,500.0
1,0.031649460420892186,1.9774334830821538,500.0
1,0.03490523001930253,1.9936468380995984,500.0
1,0.03885948084796902,3.008098586388567,500.0
1,0.03977234806543471,2.9719845980379227,500.0
1,0.04211339968275564,4.012805130085497,500.0
1,0.04610972603492022,3.989739679401649,500.0
1,0.05078795123057262,4.993364353180553,500.0
1,0.05023586735844831,4.9813909261897455,500.0
1,0.05259716793650963,6.015027649373418,500.0
1,0.051203620704291,5.979494631555502,500.0
1,0.0502951345171533,7.018880241280948,500.0
1,0.05335135744170556,6.997864419961294,500.0
1,0.016126432860392358,5.0,25.0
1,0.011548744637481956,5.0,25.0
1,0.018819895018434788,5.0,50.0
1,0.020812630423106816,5.0,50.0
1,0.02327085294175419,5.0,75.0
1,0.02231213064005054,5.0,75.0
1,0.02585485222173694,5.0,100.0
1,0.02965233536252107,5.0,100.0
1,0.03407625610108834,5.0,200.0
1,0.03653779056501543,5.0,200.0
1,0.03978895356725318,5.0,350.0
1,0.042444567899364787,5.0,350.0
1,0.04215674831038106,5.0,650.0
1,0.041366079249725074,5.0,650.0
