,reaction,rates,c1,c2,c3
0,3,1.0216390933212298,100.0,5.0,0.0
1,3,1.0009865945060246,100.0,5.0,0.0
2,3,1.350111459897824,200.0,5.0,0.0
3,3,1.393167932526999,200.0,5.0,0.0
4,3,1.5117986880815382,300.0,5.0,0.0
5,3,1.6839873131727312,300.0,5.0,0.0
6,3,1.5145041579732454,400.0,5.0,0.0
7,3,1.498330963303813,400.0,5.0,0.0
8,3,1.4989123039416998,500.0,5.0,0.0
9,3,1.5079976146799667,500.0,5.0,0.0
10,3,1.5028624390452947,600.0,5.0,0.0
11,3,1.5171350970139406,600.0,5.0,0.0
12,3,1.4864805579930314,700.0,5.0,0.0
13,3,1.4906021140539507,700.0,5.0,0.0
14,3,0.4881174494426011,25.0,5.0,0.0
15,3,0.4071024143934185,25.0,5.0,0.0
16,3,0.7076555241812142,50.0,5.0,0.0
17,3,0.6979888728050608,50.0,5.0,0.0
18,3,0.9474659903948761,75.0,5.0,0.0
19,3,0.9344230914679148,75.0,5.0,0.0
20,3,1.3214543476840148,150.0,5.0,0.0
21,3,1.4234423642077523,150.0,5.0,0.0
22,3,0.6846925689846615,500.0,1.0,0.0
23,3,0.6328936275318722,500.0,1.0,0.0
24,3,1.0049441826947196,500.0,2.0,0.0
25,3,1.0047802148224947,500.0,2.0,0.0
26,3,1.2213817740312662,500.0,3.0,0.0
27,3,1.2739483832494711,500.0,3.0,0.0
28,3,0.37054503197242117,500.0,0.5,0.0
29,3,0.37357843760857734,500.0,0.5,0.0
30,3,1.4418365782373177,500.0,4.0,0.0
31,3,1.4624219992866139,500.0,4.0,0.0
32,3,1.7061304290081614,500.0,6.0,0.0
33,3,1.7014275323093528,500.0,6.0,0.0
34,3,1.8202148026510174,500.0,7.0,0.0
35,3,1.881926347288296,500.0,7.0,0.0
